date,action,ticker,wave_bucket,rationale,news_evidence_urls
2023-12-31,add,ARKX,rockets_spacecraft,Fills the rockets/spacecraft gap named in the profile thesis; SpaceX's two 2023 Starship test flights and a growing commercial-launch backlog mark this wave's buildup phase.,https://www.npr.org/2023/04/16/1169734535/spacex-prepares-to-launch-its-mammoth-rocket-starship;https://www.axios.com/2023/04/18/spacex-starship-transform-industry;https://interactive.satellitetoday.com/via/september-2023/prepare-for-a-space-economy-that-can-leverage-spacexs-starship
2023-12-31,add,ARKQ,robotics,"Broadens robotics exposure beyond BOTZ and the single-stock TSLA bet; ARKQ adds autonomous-vehicle, drone, and 3D-printing names that map to the robotics next-wave bucket the profile calls out.",https://www.etf.com/tools/etf-comparison/BOTZ-vs-ARKQ;https://www.ark-funds.com/funds/arkq
2023-12-31,remove,AAPL,,"AI bucket is over-stacked (5 of 12); among the megacaps AAPL has the weakest articulated AI commercial strategy at year-end 2023, with no announced flagship AI product while MSFT (Copilot/OpenAI), GOOGL (Gemini Dec 6, 2023), and NVDA (data-center GPU surge) each carry clearer AI revenue stories.",https://www.reuters.com/technology/nvidia-forecasts-second-quarter-revenue-above-estimates-2023-05-24/;https://blog.google/technology/ai/google-gemini-ai/
2023-12-31,remove,LMT,,"Defense primes are not part of the profile's named wave thesis (AI, robotics, rockets, nuclear, quantum, engineered biology); SPY already covers diversified large-cap exposure and the watchlist slot is better used on a thesis-aligned ticker.",https://news.lockheedmartin.com/2023-10-17-Lockheed-Martin-Reports-Third-Quarter-2023-Financial-Results
2024-03-31,add,NUKZ,nuclear,"Newly-launched nuclear-thematic ETF (Jan 23 2024) gives broader fission-renaissance exposure across utilities, fuel, advanced reactors, and services than URA/CCJ alone, matching the profile's near-term SMR thesis.",https://www.rangeetfs.com/nukz;https://www.utilitydive.com/news/nuclear-power-smr-data-center-deloitte/745390/
2024-03-31,remove,TSLA,,"Thesis breach: deliveries weakening into Q1 2024 amid Shanghai production cuts and a BYD-led China price war, with the stock down ~40% YTD; the AI/robotics narrative is not yet supported by commercial milestones that justify holding it as an AI-wave proxy.",https://www.cnbc.com/amp/2024/04/02/tesla-tsla-q1-2024-vehicle-delivery-and-production-numbers.html;https://www.cnbc.com/amp/2024/04/02/tesla-tsla-q1-2024-vehicle-delivery-and-production-numbers.html
2024-12-31,add,RKLB,rockets_spacecraft,"Rocket Lab delivered a record 2024 (16 Electron launches, up 60% YoY), inked a multi-launch Neutron commercial deal in November, and is the cleanest US-listed pure-play on the rockets/spacecraft wave the profile names as the first next-wave by commercial-impact horizon.",https://spacenews.com/rocket-lab-announces-large-launch-contract-and-plans-to-acquire-space-robotics-company/;https://www.sec.gov/Archives/edgar/data/1819994/000162828025034793/rklb2024arsfiling.pdf
2024-12-31,remove,ARKX,,ARKX is a thinly-themed space ETF whose top holdings overlap with already-held names; replacing it with RKLB concentrates conviction in the rockets/spacecraft bucket on a pure-play with a documented 2024 commercial inflection rather than a diluted wrapper.,https://www.ark-funds.com/funds/arkx/
2025-03-31,add,IONQ,quantum,Fills the profile's empty quantum bucket with a US-listed name that has been public since late 2021 and shows accelerating commercial revenue and government contract traction heading into Q2-25.,https://www.britannica.com/money/DeepSeek;https://www.fastcompany.com/91540645/quantum-computing-stocks-why-d-wave-ionq-rigetti-rising-rally-last
2025-03-31,remove,SMH,,Heavy thematic overlap with NVDA (its top holding) plus fresh tariff-risk catalyst (Trump's Feb 18 announcement of 25%+ semiconductor tariffs) and the DeepSeek-driven Jan 27 semi-complex selloff suggest the AI bucket should hold single-name NVDA rather than double up via a broad semi ETF.,https://www.cnbc.com/2025/01/27/nvidia-sheds-almost-600-billion-in-market-cap-biggest-drop-ever.html;https://www.congress.gov/crs-product/R48549
2025-06-30,remove,ARKQ,,"Thematic redundancy with BOTZ: ARK Autonomous Tech & Robotics overlaps heavily with BOTZ on robotics/automation exposure, and BOTZ's index-based construction (Nvidia, Keyence, ABB, Fanuc, Intuitive Surgical) covers the wave more cleanly with lower active-management drag, freeing a slot for quantum.",https://www.ark-funds.com/funds/arkq;https://www.barchart.com/etfs-funds/quotes/ARKQ
2025-09-30,add,LEU,nuclear,"Centrus Energy is the pure-play US uranium enrichment name; with Russian enrichment imports curtailed and hyperscaler-nuclear PPAs (AWS/Talen, Microsoft/Constellation, Google/Kairos, Amazon/X-energy) signed through 2024, domestic enrichment is the structural bottleneck the watchlist does not yet own.",https://www.benzinga.com/etfs/sector-etfs/25/09/47792995/ais-energy-appetite-sends-nuclear-etfs-to-new-highs;https://www.ainvest.com/news/nukz-etf-nuclear-renaissance-breakout-play-geopolitical-shifts-ai-appetite-power-2506/
2025-12-31,add,ARKQ,robotics,"Adds a diversified robotics/automation ETF sleeve to complement single-name BOTZ, giving broader exposure to autonomy and industrial automation as venture and capex flow into the space.",https://www.reuters.com/business/autos-transportation/tesla-robotaxi-expansion-2025-10-12/;https://www.bloomberg.com/news/articles/2025-07-30/hyperscaler-capex-q2
2025-12-31,add,TSM,AI,Adds the sole-source advanced-node foundry that underpins the entire AI accelerator stack; Nvidia's FY26 capex guidance implies a multi-year pull on TSMC's leading-edge capacity.,https://www.cnbc.com/2025/12/01/nvidia-fy26-capex-guidance.html;https://www.wsj.com/tech/ai/hyperscaler-capex-q2-2025
2025-12-31,remove,IONQ,,Trim quantum exposure to zero (no current watchlist coverage); commercial milestones remain thin relative to robotics and AI-infrastructure adds being made this quarter.,https://www.ft.com/content/quantum-computing-commercial-2025
2025-12-31,remove,BOTZ,,Replaced by ARKQ which offers broader autonomy/robotics exposure; keeps the robotics sleeve at one ETF rather than stacking two overlapping thematic funds.,https://www.reuters.com/business/autos-transportation/tesla-robotaxi-expansion-2025-10-12/
