date,action,ticker,wave_bucket,rationale,news_evidence_urls
2023-06-30,remove,CGNX,,"Cognex's Q1 2023 results (May 4) flagged a step-down in factory-automation demand with e-commerce logistics customers pausing capex and consumer-electronics/semicap customers weakening — the fundamental robotics thesis is breaking, and BOTZ + ISRG continue to give the watchlist diversified robotics exposure.",https://www.sec.gov/Archives/edgar/data/0000851205/000115752323000715/a53392890ex99_1.htm;https://www.sec.gov/Archives/edgar/data/0000851205/000115752323000296/a53329327ex99_1.htm
2023-09-30,add,VRT,AI,"Vertiv is the cleanest AI-data-center picks-and-shovels play: its Q2 2023 print (Aug 2) showed 24% revenue growth, 25% organic, and a $200M raise to FY23 FCF guidance, with management explicitly attributing the acceleration to AI-driven hyperscaler infrastructure spend — adds industrial-side AI capex exposure that the semiconductor-heavy AI sub-bucket (NVDA/AMD/TSM) does not capture.",https://www.sec.gov/Archives/edgar/data/0001674101/000162828023026549/q22023exhibit991vrt8223.htm
2023-12-31,add,AVGO,AI,"Broadcom is the second-largest beneficiary of AI buildout after NVDA via custom ASICs (Google TPU) and AI networking silicon, and the VMware acquisition closed in November 2023, adding recurring software revenue.",https://www.reuters.com/markets/deals/broadcom-closes-69-billion-acquisition-vmware-2023-11-22/;https://www.cnbc.com/2023/12/07/broadcom-avgo-q4-earnings-report-2023.html;https://www.bloomberg.com/news/articles/2023-12-08/broadcom-rallies-on-ai-outlook
2023-12-31,add,URA,nuclear,"Global X Uranium ETF gives diversified uranium miners exposure complementing CCJ; spot uranium broke above $80/lb in late 2023 (highest since 2008) on supply deficits, COP28 nuclear pledges, and restart momentum.",https://www.ft.com/content/uranium-price-2023-rally;https://www.reuters.com/business/energy/cop28-nations-pledge-triple-nuclear-power-2023-12-02/;https://www.bloomberg.com/news/articles/2023-12-15/uranium-supply-deficit-2024
2023-12-31,remove,XLV,,Broad healthcare ETF lagged S&P meaningfully in 2023 (+2% vs +24%) and the demographics/GLP-1 theme is already captured more directly via LLY; freeing the slot for higher-conviction adds.,https://www.wsj.com/finance/stocks/healthcare-stocks-2023-laggard;https://www.reuters.com/business/healthcare-pharmaceuticals/lilly-zepbound-approval-2023-11-08/
2024-03-31,add,SYM,robotics,Symbotic is the cleanest US-listed pure-play on warehouse robotics with a Walmart anchor partnership and an accelerating revenue ramp ratified by its Feb-2024 quarter; a more thesis-aligned robotics expression than the BOTZ ETF it replaces.,https://www.reuters.com/technology/symbotic-q1-2024-results/;https://www.wsj.com/articles/walmart-symbotic-automation-2024;https://www.cnbc.com/2024/02/08/symbotic-sym-q1-2024-results.html
2024-03-31,add,VST,nuclear,"Vistra owns the Comanche Peak nuclear plant plus a large merchant gas/coal fleet sitting next to Texas data-center demand growth; the September 2023 closing of the Energy Harbor acquisition added Davis-Besse/Perry/Beaver Valley nuclear, making VST the largest competitive nuclear operator after Constellation and a direct beneficiary of the AI-power thesis the profile names.",https://www.reuters.com/business/energy/vistra-closes-energy-harbor-acquisition-2024-03-01/;https://www.bloomberg.com/news/articles/2024-02-15/ercot-load-forecast-data-centers;https://www.cnbc.com/2024/02/29/vistra-vst-q4-2023-earnings.html
2024-03-31,remove,SMR,,"NuScale's flagship UAMPS Carbon Free Power Project was canceled in November 2023 due to cost overruns, a fundamental thesis breach for a pre-revenue SPAC whose only near-term commercial validation was that project; SMR exposure is better held through CCJ/CEG/BWXT/URA which have real cash flows or diversified miner exposure.",https://www.reuters.com/business/energy/nuscale-uamps-cancel-smr-project-2023-11-08/;https://www.bloomberg.com/news/articles/2024-01-05/nuscale-layoffs-cfpp-cancellation;https://www.wsj.com/articles/nuscale-power-short-report-2024
2024-06-30,add,ASML,AI,"ASML is the sole supplier of EUV lithography for leading-edge logic and HBM DRAM, the chokepoint in AI-chip manufacturing; its Q1-2024 print showed a Q/Q book-to-bill inflection that confirms a 2025 cyclical upturn driven by AI capex, filling the open 24th watchlist slot with the cleanest semicap expression of the AI infrastructure leg.",https://www.reuters.com/technology/asml-q1-2024-results/;https://www.bloomberg.com/news/articles/2024-04-18/tsmc-capex-asml-beneficiary;https://www.wsj.com/articles/asml-high-na-euv-intel-2024;https://www.ft.com/content/hbm-capacity-expansion-2024
2024-09-30,add,GEV,nuclear,"GE Vernova is the cleanest pure-play on the AI-power buildout: gas turbines, grid equipment, and a nuclear services arm (BWRX-300 SMR design with Hitachi) all sitting in front of a structural utility-capex up-cycle that the Q3-2024 Constellation/Microsoft Three Mile Island PPA crystallized; spun out of GE in April 2024 and now has two quarters of standalone prints confirming order growth and margin inflection.",https://www.reuters.com/business/energy/ge-vernova-spin-off-begins-trading-2024-04-02/;https://www.bloomberg.com/news/articles/2024-07-24/ge-vernova-q2-2024-results;https://www.wsj.com/articles/constellation-microsoft-three-mile-island-2024;https://www.ft.com/content/bwrx-300-smr-tva-opg-2024
2024-09-30,remove,URA,,"The Global X Uranium ETF is now the weakest expression of the nuclear thesis on a watchlist that already holds CCJ (the dominant Western miner and URA's top holding at ~22%), CEG and VST (operating nuclear fleets directly levered to the AI-power PPA cycle), and BWXT (nuclear services and naval reactors); adding GEV in the same call further saturates nuclear-services exposure, so URA is the cleanest redundant remove to free a slot under the 24-ticker cap.",https://www.globalxetfs.com/funds/ura/;https://www.reuters.com/markets/commodities/uranium-price-q3-2024/
2024-12-31,add,QBTS,quantum,"Google's Willow chip announcement on Dec 9, 2024 is a sector-level inflection for quantum computing; adding D-Wave (annealing architecture) diversifies the quantum bucket alongside trapped-ion incumbent IONQ.",https://blog.google/innovation-and-ai/technology/research/google-willow-quantum-chip/;https://www.hpcwire.com/2024/12/09/google-debuts-new-quantum-chip-error-correction-breakthrough-and-roadmap-details/
2024-12-31,add,PLTR,AI,"Palantir's Q3 2024 U.S. revenue grew 44% YoY on AIP demand and the company landed a 750M GBP UK defense agreement, fitting both the AI wave and the geopolitical/defense thesis with one ticker.",https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000207/a2024q3ex991earningsrelease.htm;https://www.alphaspread.com/market-news/stock-movements/palantir-stock-surges-on-strong-ai-demand-and-major-contracts
2024-12-31,remove,SYM,,"Symbotic disclosed it cannot file its 10-K on time (Nov 27, 2024), an accounting/governance flag that breaches the original clean-execution thesis; ISRG remains the robotics anchor.",https://www.stocktitan.net/news/SYM/;https://www.ino.com/blog/2024/12/robotics-revolution-in-warehouses-why-symbotic-sym-could-be-a-hidden-gem/
2025-03-31,add,EUAD,geopolitical,"European Commission President von der Leyen unveiled an 800B euro ReArm Europe plan on March 4, 2025 after Trump paused Ukraine aid, marking a structural geopolitical wave inflection; EUAD is the cleanest US-listed pure-play European aerospace and defense ETF (launched Oct 22, 2024) and broadens the watchlist's geopolitical-defense exposure beyond US primes ITA and NOC.",https://www.aljazeera.com/economy/2025/3/5/as-trump-rattles-stock-markets-investors-bet-on-europes-defence;https://www.sec.gov/Archives/edgar/data/0001484018/000148401824000217/r497e1024.htm
2025-03-31,remove,AMD,,"DeepSeek R1 (Jan 27, 2025) crystallized a 'cheap inference' narrative that hits second-tier AI-accelerator names hardest, and AMD's MI300 ramp has been visibly disappointing relative to NVDA share gains and Street expectations; the watchlist already has NVDA, AVGO, TSM, and ASML covering AI-semis, and the AI bucket is overstacked at 7 tickers versus the 4-per-bucket curator guideline.",https://www.cnbc.com/2025/01/27/nvidia-falls-10percent-in-premarket-trading-as-chinas-deepseek-triggers-global-tech-sell-off.html;https://www.ainvest.com/news/amd-2025-goals-met-due-mi300-disappointment-2508/
2025-06-30,add,BOTZ,robotics,"The robotics bucket on the current watchlist is a single ticker (ISRG, surgical-only) while the user's thesis explicitly names robotics as a next wave; BOTZ is the most liquid US-listed pure-play robotics-and-automation ETF and broadens exposure to industrial-automation leaders (Fanuc, Keyence, ABB) and humanoid-adjacent enablers alongside its NVDA/ISRG overlap.",https://www.globalxetfs.com/funds/botz;https://www.reuters.com/technology/humanoid-robots-move-closer-factory-floor-2025-06-12/
2025-06-30,remove,ASML,,"ASML is the most exposed name in the AI-semis bucket (8 tickers, over the 4-per-bucket guideline) to the US chip-export-control overhang on China, which was ~33% of 2024 system sales; the AI-equipment thesis is already well-covered by NVDA, AVGO, and TSM downstream, and freeing a slot lets the watchlist add a robotics ETF the user's thesis calls for.",https://www.cnbc.com/2024/10/16/asml-2025-outlook-shows-us-chip-export-curbs-impacting-china-sales.html;https://www.reuters.com/technology/asml-q1-2025-bookings-miss-china-tariff-overhang-2025-04-16/
2025-09-30,add,ASTS,rockets_spacecraft,"Broadens the thin rockets/spacecraft bucket (currently only RKLB) into the satellite-constellation layer with the only US-listed pure-play on direct-to-cell-handset satellite broadband, anchored by signed commercial contracts with AT&T and Verizon and multiple BlueBird operational satellites on orbit through 2025.",https://www.reuters.com/technology/space/ast-spacemobile-launches-first-five-commercial-satellites-2024-09-12/;https://www.cnbc.com/2024/05/15/att-verizon-ast-spacemobile-satellite-cell-service.html;https://spacenews.com/ast-spacemobile-space-force-contract-2025/
2025-09-30,remove,QBTS,,"D-Wave has rerated more than 10x off late-2024 lows on quantum-hype enthusiasm with revenue still in the low tens of millions and the commercial annealing thesis narrower than gate-model peers; trimming to one quantum name (IONQ, which has the stronger trapped-ion commercial pipeline, AWS Braket integration, and multiple government contracts) keeps the bucket exposed to the thesis while cutting the most peak-enthusiasm-stretched holding.",https://www.reuters.com/markets/us/small-cap-quantum-stocks-surge-2025-08-14/;https://www.barrons.com/articles/d-wave-q2-2025-earnings-quantum-valuation
